osm_id,destination,category,name,lat,lon,tourism,amenity,historic,leisure,railway,stars,cuisine,website,opening_hours
2408674304,Extremadura,attraction,Centro de Interpretación de las Tres Culturas,39.4751103,-6.3709186,museum,,,,,,,,
2408674671,Extremadura,attraction,Torre del Horno,39.4740901,-6.3718799,,,monument,,,,,,
2408675382,Extremadura,attraction,Torre de la Hierba,39.4745934,-6.3715062,,,monument,,,,,,
2408675987,Extremadura,attraction,Arco de Santa Ana,39.473587,-6.3721642,,,monument,,,,,,
2408676634,Extremadura,attraction,Torre del Postigo,39.4737029,-6.3723037,,,monument,,,,,,
2408677364,Extremadura,attraction,Enfermería de San Antonio (actual Convento de las Jerónimas),39.4725911,-6.3722071,,,monument,,,,,,
2408678580,Extremadura,attraction,Palacio de Francisco de Godoy,39.4760239,-6.3696966,,,monument,,,,,,
2408678874,Extremadura,attraction,Iglesia y Convento de Santo Domingo,39.4763116,-6.3720703,,,monument,,,,,,
2408679867,Extremadura,attraction,Palacio de Galarza,39.4759245,-6.3723814,,,monument,,,,,,
2408679868,Extremadura,attraction,Casa del Marqués de Camarena,39.4757837,-6.3725263,,,monument,,,,,,
2408682138,Extremadura,attraction,Palacio de la Isla,39.4753696,-6.3728829,,,monument,,,,,,
2408697962,Extremadura,attraction,Mina la Abundancia,39.4496636,-6.3941571,,,monument,,,,,,
2408700780,Extremadura,attraction,Malacate,39.4454725,-6.3927598,,,ruins,,,,,,
2414424798,Extremadura,attraction,Museo de Arte Contemporáneo Helga de Alvear,39.4718867,-6.3734116,museum,,,,,,,https://www.museohelgadealvear.com/es/,Tu-Sa 10:00-14:00; Tu-Sa 17:00-20:00; Su 10:00-14:30
2454067920,Extremadura,attraction,Unknown,39.4170319,-5.7544307,viewpoint,,,,,,,,
2457087626,Extremadura,attraction,Mina Costanaza,39.3352164,-5.4841249,,,monument,,,,,,
2501670567,Extremadura,attraction,Horno de los Maquis,39.7804329,-5.8720533,,,archaeological_site,,,,,,
2525809613,Extremadura,attraction,"Presa Romana ""Charca Grande""",38.948979,-6.4384251,,,monument,,,,,,
2526943164,Extremadura,attraction,Casa del Miedo,39.4598407,-6.3334511,,,ruins,,,,,,
2584012651,Extremadura,attraction,El Pilar de la Amistad,40.0380466,-6.0886476,,,memorial,,,,,,
2585837388,Extremadura,attraction,Unknown,39.7955037,-5.852763,viewpoint,,,,,,,,
2639997162,Extremadura,attraction,Museo de Artesanía,39.4576136,-5.879617,museum,,,,,,,,
2643843699,Extremadura,attraction,Mirador de La Serrana,39.8568047,-6.0480821,viewpoint,,,,,,,,
2671056004,Extremadura,attraction,Unknown,38.9153333,-6.3390635,,,ruins,,,,,,
2671056006,Extremadura,attraction,Unknown,38.9153421,-6.3391426,,,ruins,,,,,,
2671056008,Extremadura,attraction,Unknown,38.9153511,-6.33904,,,ruins,,,,,,
2671056009,Extremadura,attraction,Unknown,38.9153681,-6.3390178,,,ruins,,,,,,
2671056011,Extremadura,attraction,Unknown,38.9153762,-6.3391869,,,ruins,,,,,,
2671056012,Extremadura,attraction,Unknown,38.9153903,-6.3389887,,,ruins,,,,,,
