poi_id,name,destination,region,destination_type,capacity_index,category,asset_type,lat,lon,stars,cuisine,website
1242621009,Penyal Vermell,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.5683721,2.3653337,,,
1242625392,Mirador de na Torta,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7165176,2.6157449,,,
1242626638,Penya des Migdia,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.8797453,3.182678,,,
1242626741,Castell d'Alaró,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7325261,2.7935906,,,
1242632755,Camp de sa Batalla,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.4976266,2.8753412,,,
1247154539,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.5314021,2.575155,,,
1256743201,Antoni Maura,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.5713067,2.648934,,,
1256743542,Lugar de encuentros,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.5723848,2.6507448,,,
1256815241,Museu de Sant Antoni i el Dimoni,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7699427,3.0195783,,,
1261936167,font de la Reina,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.7357058,2.688862,,,
1262388542,Mirador de la Victòria,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.874568,3.1712436,,,
1262388543,Ses Tres Creus,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.8734541,3.1725647,,,
1265397993,Mirador del Molí Vell,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.8692898,3.0240462,,,
1266461395,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.4910862,2.7374952,,,
1268567292,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.732026,2.6514789,,,
1272885624,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.9545703,3.1894013,,,
1273209866,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7527971,3.1857709,,,
1273210106,La Cova de davant l'Illa des Porros,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.7531428,3.1856664,,,
1282042688,Crist Rei,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.4540966,3.1885746,,,
